4-v2,4-v3,5-v2,5-v3,6-v2,6-v3,7-v2,7-v3,8-v2,8-v3,9-v2,9-v3,10-v2,10-v3,11-v2,11-v3,12-v2,12-v3,13-v2,13-v3
6730265770,13017954820,5069161020,10164235307,4878597771,10781229674,4667221039,7171327658,4456921254,8770156213,4490678000,8880531538,3171653965,6346277508,3615688432,4321373132,3891440993,4919293820,3134546918,4641583538
8165170703,16096652935,5697553857,9682977587,5194162836,11031400379,4769960813,6969383337,4424577636,8487888923,4369888906,9020051690,3171776868,6504028645,3510503877,4244466350,4040118885,5087494321,3119989069,4633601925
8103586790,13122381633,5690189162,9983016364,5949425546,10733944223,4205975661,7589753708,4528765730,8569101151,4849073087,9016894829,3107540930,6730896504,3495273575,4441783427,3790810822,4938115401,3668293745,4788950255
5822220317,15251844114,6262965331,10750168519,4842846487,11649335546,4002902051,7010055209,5182631197,8848101961,4058662912,8935403133,3377366208,6344171335,3337479412,4336226845,3436591123,4899997355,3208886679,4690204924
6807079859,12120651771,5713906999,9983577739,5752404838,11164371469,4411514891,7592666684,5267165116,8753701948,4080441259,8657003931,3188124885,6392960211,3385722794,4394329355,3933047636,5096808855,2588799614,4791044377
7095283762,14001963145,5782394285,9722130984,3214381497,11292273310,3890432436,6878509204,4982067200,8374268855,4432424920,8987341166,3062589763,6431920270,3396486088,4469296834,3764274446,5526227502,3102516463,4744863808
7312444859,14155214267,6144873946,11015869535,5269399988,10728005407,3935307841,7305226300,4425195356,8954808288,4324408717,8824816400,3550919302,6323751561,3492681480,4510570981,3436270535,5186534381,3072406741,4565890598
6388708798,13933847041,4698333778,11472825009,6549438672,12003602497,4430483143,7021719269,4777575421,8427778514,4551032925,8775064731,3336408694,6263825196,3359855968,4384791284,3972457416,5364114416,2513178333,4620305394
6933431407,11917555614,6169143781,10845270402,3930753829,11004947721,4538095467,6993848135,3681755061,8589407595,4614789247,8940546895,3112467727,6453095670,3443264184,4509814402,3246799559,4874149511,3113163499,4638165801
6906884547,13138904785,4996278883,9821737687,5047865507,11398927605,4089788114,7504423038,4237818008,8756907775,4062359976,9097202537,3354827712,6295786898,3600715450,4513041316,3438628731,5671973603,2857628783,4508168254
6571372074,15101559388,6753748017,9858725300,4353067404,10710890325,4401380859,7376663829,3420408714,8463962136,4561217367,8831277359,3236051711,6296009719,3488916137,4277989724,3357351414,5422377758,3100716451,4741438558
7727801664,13530356545,6206097446,10123385773,5359657801,10945916944,4028114985,7021410040,4412289087,8567819775,4573605116,8820472811,3176874706,6615035123,3472519642,4400599419,3631670887,5019749979,3037521283,4529466349
7226393211,12452950507,6500010326,10108022884,3122150792,10532218879,3898332085,7362262684,6406800346,8538944964,4118690717,8730040028,3173108102,6821218200,3520671760,4496183916,5827797262,5104361820,2727583138,4660304256
6671276849,13631068691,4131120109,9860459558,5608204280,10805207996,4684490842,6956770230,4973346370,9003282122,4541986360,8931200197,3267589343,6365763574,3498986401,4488422276,3953895136,5184146465,3175024224,4598760704
7118847216,13056939388,5239030155,10238204849,3193243671,10457610792,4401519310,7280578176,4552265436,8749544078,4611085046,9378988224,3238101692,6688960380,3378276366,4435297337,4060590954,5049635158,2553246661,4778251896
5504418582,12627302922,5203430084,10679396242,3059766837,11423525040,4321204844,7015728150,5061347202,8845306841,4621470000,9263503753,3134693104,6514984233,3486894154,4432120209,4007262128,5184849850,2578345403,4761921151
5967849767,13663055975,8353040597,10210593779,3362083981,10692716736,4759527003,7015920064,4738713688,9182308610,4523486861,8871708471,3244707469,6527267719,3732941399,4425987193,3844459962,5003386788,2397802744,4819083650
6428670809,15956939057,6426814719,10507526627,5244692403,11558640322,4011779970,7140556891,4938497630,8687007195,4581768943,9075759980,3492028988,6386161582,3364526941,4421448203,4168270325,5581557999,2448020471,4533020495
5650391465,13246757414,5743308256,10288405547,5757426458,10950976491,4327142948,7175888338,4581918917,8789994521,4784012493,8574943635,3116810360,6647750832,3489154122,4332958641,3929560900,5099454714,3144185184,4686387038
6658848604,14797702472,5970007231,10320828545,5777308269,11332273123,4272380112,7302947889,4842603963,8980816832,4727502143,8979939371,4899668210,6810653882,3614405740,4375637444,4471667572,4932135350,3064166559,4547283777
5845117909,11611875399,4988547143,10016863981,6219826383,10477981429,4218104713,7265064603,4972722204,8758718229,4691613637,8801118591,5098683657,6459808237,3554074988,4400927503,3964459150,5572369796,3103533881,4611490783
7501417934,14321022025,5635322351,10128746540,5759390606,10484920751,4507917076,7662603812,4307093822,9559303394,4768771903,9010423963,5173878177,6225973281,3456856699,4247759130,3803602762,5076983462,3066380453,4605038443
7748445814,12392907007,5321080698,9889004686,5577761575,10642717924,3623053261,7141678442,4733309297,8277925953,4685429743,8991806760,3235089486,6547151459,3407237012,4334858361,3839939016,4923418972,3013550566,4643791642
6496004809,13496011822,5396589602,10884249331,4106699924,9873055536,4502719025,6891643378,4334374825,8673517252,4586604426,8596297465,4822920224,6270353771,2295617229,4395742719,4050573164,5157844203,2972661553,4650535006
6135580676,12195305424,6065758237,10234592774,5276144227,11034079819,4180503389,7025785209,4730605935,8708905824,4942725580,9039311630,4314480605,6407221620,3595209427,4716249496,3825202030,5107650138,2638704886,4613414972
8223487316,12486539712,6156161503,10264159875,4840128962,10744441457,4648046955,6953368973,4651318775,8677672901,4984585784,8887441267,3534062897,6399764059,3465425867,4507657401,3890022442,5093967482,2406599082,4459305642
6723963696,12563036669,5836313431,10886569284,5250302258,9907550729,2216190236,6944038061,3675674664,8922056842,4211772307,8811046491,3310089570,6526017625,3537058117,4388176676,3584643156,5223338040,2966521182,4719576994
7024623098,15201058029,5596630912,10261671506,4799807083,10740827679,4381815035,6889147776,6275279332,8380558718,4512565160,8752972514,3582572637,6629891274,3621749826,4403391770,4009542347,5113263157,2909662438,4763593347
6961871783,12517660633,5487556107,10448868995,4980442148,10976188292,4418480827,7065098613,2398529262,8485951689,4236868008,8743865608,3197325336,6770166373,3316340417,4475326451,3846170246,5002620416,3103114508,4771421687
5015955886,14290078359,3626320944,10233226427,4976194291,11687274125,4541925293,7904192789,4288859438,8798580074,4074048590,8853972157,3089391214,6325835198,3424419342,4312415086,4025941370,4964775485,3160982334,4759121530
